[2022-05-30 16:30:27] [class-ss-plugin.php:268] Received request to start generating a static archive
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wpforms\cache\index.html to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wpforms\cache\index.html
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wpforms\cache\templates.json to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wpforms\cache\templates.json
[2022-05-30 16:30:34] [class-ss-setup-task.php:121] Adding files from directory: F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\index.php to queue as: http://localhost/EarthShastri.github.io/wp-content\index.php
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites-dev.css to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites-dev.css
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites-dev.css.map to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites-dev.css.map
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites-rtl.css to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites-rtl.css
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites.css to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\athemes-starter-sites.css
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\select2.min.css to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\css\select2.min.css
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\elementor.png to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\elementor.png
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\gutenberg.png to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\gutenberg.png
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\logo.svg to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\logo.svg
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\success.svg to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\images\success.svg
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\athemes-starter-sites.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\athemes-starter-sites.js
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\popmotion.global.min.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\popmotion.global.min.js
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\select2.min.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\select2.min.js
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\stylefire.min.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\stylefire.min.js
[2022-05-30 16:30:34] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\utility.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\utility.js
